,name,album,artist,release_date,length,popularity,energy,liveness
0,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,85,0.427,0.21
1,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,89,0.559,0.109
2,Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,274192,90,0.472,0.141
3,Without Me,The Eminem Show,Eminem,2002-05-26,290320,86,0.669,0.237
4,Still D.R.E.,2001,Dr. Dre,1999-11-16,270586,81,0.775,0.0543
5,Like That,WE DON'T TRUST YOU,Future,2024-03-22,267706,85,0.676,0.119
6,Ni**as In Paris,Watch The Throne,JAY-Z,2011-08-08,219333,80,0.858,0.349
7,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,84,0.621,0.0958
8,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,85,0.661,0.0454
9,"Nuthin' But A ""G"" Thang",The Chronic,Dr. Dre,1992-12-15,237573,76,0.821,0.147
10,California Love - Original Version,Greatest Hits,2Pac,1998-01-01,284906,79,0.85,0.371
11,God's Plan,Scorpion,Drake,2018-06-29,198973,81,0.449,0.552
12,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,205040,80,0.569,0.1
13,Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,83,0.847,0.0816
14,The Next Episode,2001,Dr. Dre,1999-11-16,161506,80,0.909,0.0856
15,Mask Off,FUTURE,Future,2017-06-30,204600,81,0.434,0.165
16,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,81,0.73,0.124
17,All Eyez On Me (ft. Big Syke),All Eyez On Me,2Pac,1996-02-13,307773,77,0.723,0.327
18,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,81,0.745,0.292
19,Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,75,0.496,0.252
20,Forgot About Dre,2001,Dr. Dre,1999-11-16,222293,78,0.74,0.163
21,Yes Indeed,Harder Than Ever,Lil Baby,2018-05-18,142273,76,0.346,0.108
22,Straight Outta Compton,Straight Outta Compton,N.W.A.,1988-08-08,258687,70,0.878,0.334
23,Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,85,0.678,0.156
24,Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,229826,80,0.697,0.287
25,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,79,0.523,0.0842
26,What's The Difference,2001,Dr. Dre,1999-11-16,244200,74,0.821,0.148
27,Hit 'Em Up - Single Version,Greatest Hits,2Pac,1998-01-01,312626,80,0.844,0.0778
28,Lose Yourself,Just Lose It,Eminem,2004-01-01,322226,79,0.735,0.342
29,Gin and Juice,Doggystyle,Snoop Dogg,1993-11-23,211866,72,0.762,0.478
30,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,2019-06-15,205426,75,0.502,0.122
31,Fuck Tha Police,Straight Outta Compton,N.W.A.,1988-08-08,345717,70,0.75,0.0538
32,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),All Eyez On Me,2Pac,1996-02-13,246533,70,0.904,0.0545
33,Superman,The Eminem Show,Eminem,2002-05-26,350320,81,0.755,0.295
34,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292799,84,0.521,0.0534
35,Who Am I (What’s My Name)?,Doggystyle,Snoop Dogg,1993-11-23,246200,69,0.735,0.559
36,It's Up (feat. Young Thug & 21 Savage),100 GIGS,Drake,2024-08-30,278000,78,0.723,0.159
37,Big Poppa - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,252746,80,0.575,0.143
38,Houdini,The Death of Slim Shady (Coup De Grâce),Eminem,2024-07-12,227032,80,0.878,0.0689
39,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,78,0.364,0.271
40,Ambitionz Az A Ridah,All Eyez On Me,2Pac,1996-02-13,278386,76,0.91,0.0737
41,Push Ups,Push Ups,Drake,2024-04-19,232774,74,0.696,0.219
42,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,86,0.728,0.149
43,Not Afraid,Recovery,Eminem,2010-06-18,248133,78,0.954,0.205
44,Love Me,I Am Not A Human Being II (Deluxe),Lil Wayne,2013-01-01,255053,82,0.634,0.0946
45,Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2004-01-01,266066,74,0.632,0.101
46,Nonstop,Scorpion,Drake,2018-06-29,238614,74,0.412,0.104
47,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,233786,73,0.693,0.11
48,Fuel,The Death of Slim Shady (Coup De Grâce),Eminem,2024-07-12,213646,78,0.662,0.109
49,The Watcher,2001,Dr. Dre,1999-11-16,206546,69,0.486,0.264
